Date (UTC),2336551695013 (kWh)
01 Jan 2018 00:00,48.0000
01 Jan 2018 00:30,44.4000
01 Jan 2018 01:00,47.3000
01 Jan 2018 01:30,42.8000
01 Jan 2018 02:00,51.8000
01 Jan 2018 02:30,46.2000
01 Jan 2018 03:00,46.4000
01 Jan 2018 03:30,49.5000
01 Jan 2018 04:00,43.2000
01 Jan 2018 04:30,46.8000
01 Jan 2018 05:00,52.6000
01 Jan 2018 05:30,47.7000
01 Jan 2018 06:00,54.4000
01 Jan 2018 06:30,75.3000
01 Jan 2018 07:00,84.6000
01 Jan 2018 07:30,105.2000
01 Jan 2018 08:00,100.5000
01 Jan 2018 08:30,82.7000
01 Jan 2018 09:00,103.8000
01 Jan 2018 09:30,118.3000
01 Jan 2018 10:00,118.6000
01 Jan 2018 10:30,120.2000
01 Jan 2018 11:00,114.4000
01 Jan 2018 11:30,109.4000
01 Jan 2018 12:00,97.4000
01 Jan 2018 12:30,90.7000
01 Jan 2018 13:00,90.1000
01 Jan 2018 13:30,83.9000
01 Jan 2018 14:00,76.9000
01 Jan 2018 14:30,70.7000
01 Jan 2018 15:00,86.5000
01 Jan 2018 15:30,100.2000
01 Jan 2018 16:00,100.4000
01 Jan 2018 16:30,101.9000
01 Jan 2018 17:00,104.2000
01 Jan 2018 17:30,105.8000
01 Jan 2018 18:00,100.8000
01 Jan 2018 18:30,92.2000
01 Jan 2018 19:00,92.1000
01 Jan 2018 19:30,81.6000
01 Jan 2018 20:00,87.1000
01 Jan 2018 20:30,85.8000
01 Jan 2018 21:00,80.7000
01 Jan 2018 21:30,74.8000
01 Jan 2018 22:00,61.9000
01 Jan 2018 22:30,62.4000
01 Jan 2018 23:00,58.5000
01 Jan 2018 23:30,56.8000
02 Jan 2018 00:00,53.4000
02 Jan 2018 00:30,56.0000
02 Jan 2018 01:00,48.3000
02 Jan 2018 01:30,48.0000
02 Jan 2018 02:00,51.8000
02 Jan 2018 02:30,48.5000
02 Jan 2018 03:00,59.0000
02 Jan 2018 03:30,58.5000
02 Jan 2018 04:00,49.0000
02 Jan 2018 04:30,50.6000
02 Jan 2018 05:00,55.5000
02 Jan 2018 05:30,73.2000
